Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Corporate Author,Corporate Contributors,Former owner,Engraver,Issuance type,Flickr URL,Shelfmarks
002069803,,Christiania,1849-,P. T. Mallings Forlagshandel,"Diplomatarium norvegicum. Oldbreve til Kundskab om Norges indre og ydre Forhold, Sprog, Slægter, Sæder, Lovgivning og Rettergang i Middelalderen. Samlede og udgivne af Chr. C. A. Lange of Carl R. Unger. Forste (-femte) Samling. (Saml. 6-15. Af C. R. Unger og H. J. Huitfeldt.-Saml. 16. Af H. J. Huitfeldt-Kaas.-Saml. 17. Af Gustav Storm, H. J. Huitfeldt-Kaas, Alexander Bugge, Chr. Brinchmann og Oluf Kolsrud.-Saml. 18. Af H. J. Huitfeldt-Kaas, Chr. Brinchmann og Alexander Bugge.-Saml. 19. Utgit av Alexander Bugge.-Saml. 20. hft. 1. Utgit av Alexander Bugge.)","LANGE, Christian Christoph Andreas - and UNGER (Carl Richard)","BRINCHMANN, Christopher.|BUGGE, Alexander.|HUITFELDT, afterwards HUITFELDT-KAAS, Henrik Jörgen.|Unger, C. R. (Carl Rikard)",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002069803,British Library HMNTS 9435.e.|British Library HMNTS 9435.ee.
002071269,,"Barmen, Elberfeld [printed]",1863,,"Elberfeld und Barmen. Beschreibung und Geschichte dieser Doppelstadt des Wupperthals, nebst besonderer Darstellung ihrer Industrie, einem Ueberblick der Bergischen Landesgeschichte ... In Verbindung mit den Herrn C. Siebel, C. Coutelle, C. R. Hötte und O. Pöls, herausgegeben von W. L","LANGEWIESCHE, Wilhelm - the Elder","COUTELLE, Carl.|HOETTE, C. R.|POELS, Carl.|SIEBEL, Carl.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002071269,British Library HMNTS 10261.d.1.
002071411,,London; Glasgow [printed,1884],W. Mackenzie,"Staffordshire and Warwickshire, past and present: by J. A. Langford, ... C. S. Mackintosh and J. C. Tildesley. ... With ... illustrations from original drawings by H. Warren, etc","LANGFORD, John Alfred.","MACKINTOSH, C. S.|TILDESLEY, James Carpenter.|WARREN, Henry - President of the New Society of Painters in Water-Colours",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002071411,British Library HMNTS 10358.h.22.
002072653,Third edition. Revised ... by C. H. E. Carmichael.,London,1886,Stevens & Haynes,[English Constitutional History. A text book for students and others.],"LANGMEAD, afterwards TASWELL-LANGMEAD, Thomas Pitt.","CARMICHAEL, Charles Henry Edward.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002072653,British Library HMNTS 09504.f.4.
002073109,,London,1880,Chapman & Hall,Charles Dickens and Rochester ... With ... illustrations ... by ... W. Hull and the author. (Reprinted with additions from the papers of the Manchester Literary Club.),"LANGTON, Robert - of Manchester","HULL, William - Artist",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002073109,British Library HMNTS 10352.h.14.|British Library HMNTS Dex.185.
002073530,,London,1892,Chapman & Hall,Russian Characteristics. Reprinted ... from the Fortnightly Review,"LANIN, E. B. - pseud. [i.e. Emil Joseph von Dillon.]","DILLON, Emile Joseph.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002073530,British Library HMNTS 10292.e.4.
002073559,,Paris,1871,,Histoire de la révolution du 18 Mars,"LANJALLEY, Paul - and CORRIEZ (Paul)","CORRIEZ, Paul - Historian",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002073559,British Library HMNTS 9230.dd.2.
002073651,,Leipzig,"1876, 77",,"Das heutige Russland. Bilder und Schilderungen aus allen Theilen des Europäischen Zarenreichs (des Zarenreichs in Asien) ... Mit ... Text-Abbildungen, etc","LANKENAU, H. von - and OELSNITZ (L. von der)","OELSNITZ, L. von der.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002073651,British Library HMNTS 10292.h.1.
002073652,,London,1881,Christian Knowledge Society,"Russia, Past and Present. Adapted from the German (“Das heutige Russland”) of Lankenau and Oelnitz by Henrieta M. Chester. With map and illustrations","LANKENAU, H. von - and OELSNITZ (L. von der)","CHESTER, Henrietta M.|OELNITZ, L. von der.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002073652,British Library HMNTS 10291.bb.13.
002073988,,Paris,1888,,Les formes du terrain. Par G. de La Noë ... avec la collaboration de Emm. de Margerie. (Planches.),"LA NOË, Gaston Ovide de.","MARGERIE, Emmanuel de.",,,,,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum002073988,British Library HMNTS 10002.i.3.
